Epsilon,FTB30p
0.0,0.9843
0.025,0.8555999999999997
0.05,0.8145000000000001
0.07500000000000001,0.7942
0.1,0.7863
0.125,0.7746000000000002
0.15000000000000002,0.7847999999999999
0.17500000000000002,0.7796000000000001
0.2,0.7684
0.225,0.7628999999999998
0.25,0.7494000000000001
0.275,0.7382
0.30000000000000004,0.7169999999999999
0.325,0.6442
0.35000000000000003,0.5024000000000001
0.375,0.35450000000000004
0.4,0.14700000000000002
0.42500000000000004,0.07990000000000005
0.45,0.04390000000000002
0.47500000000000003,0.023100000000000013
0.5,0.012600000000000005
0.525,0.003100000000000001
0.55,0.0019000000000000002
0.5750000000000001,0.0004
0.6000000000000001,0.0004
0.625,0.00030000000000000003
0.65,0.0
0.675,0.0001
0.7000000000000001,0.0005
0.7250000000000001,0.0005
0.75,0.00030000000000000003
0.775,0.0
0.8,0.0
