Epsilon,FTB30p
0.0,0.9843000000000002
0.025,0.8768
0.05,0.8648
0.07500000000000001,0.9070000000000003
0.1,0.9172000000000002
0.125,0.9301000000000001
0.15000000000000002,0.9328000000000001
0.17500000000000002,0.9279000000000002
0.2,0.9218999999999999
0.225,0.9136
0.25,0.9040999999999999
0.275,0.8931999999999999
0.30000000000000004,0.8825000000000003
0.325,0.6451
0.35000000000000003,0.16930000000000003
0.375,0.034000000000000016
0.4,0.005900000000000003
0.42500000000000004,0.0004
0.45,0.0001
0.47500000000000003,0.0
0.5,0.0
0.525,0.0
0.55,0.0
0.5750000000000001,0.0
0.6000000000000001,0.0
0.625,0.0
0.65,0.0
0.675,0.0
0.7000000000000001,0.0
0.7250000000000001,0.0
0.75,0.0
0.775,0.0
0.8,0.0
