Epsilon,FTB30n
0.0,0.9837999999999998
0.025,0.8484
0.05,0.7015999999999998
0.07500000000000001,0.6690999999999997
0.1,0.6447
0.125,0.6032
0.15000000000000002,0.5669999999999998
0.17500000000000002,0.5295000000000002
0.2,0.4851
0.225,0.4436
0.25,0.39750000000000013
0.275,0.3496000000000001
0.30000000000000004,0.30040000000000006
0.325,0.16269999999999998
0.35000000000000003,0.021800000000000014
0.375,0.0005
0.4,0.0
0.42500000000000004,0.0
0.45,0.0
0.47500000000000003,0.0
0.5,0.0
0.525,0.0
0.55,0.0
0.5750000000000001,0.0
0.6000000000000001,0.0
0.625,0.0
0.65,0.0
0.675,0.0
0.7000000000000001,0.0
0.7250000000000001,0.0
0.75,0.0
0.775,0.0
0.8,0.0
