Epsilon,ProtoVAE
0.0,0.9915999999999998
0.025,0.9828000000000003
0.05,0.9612000000000002
0.07500000000000001,0.8859000000000001
0.1,0.7191999999999998
0.125,0.5482
0.15000000000000002,0.41580000000000006
0.17500000000000002,0.3157
0.2,0.25749999999999995
0.225,0.22479999999999994
0.25,0.20239999999999997
0.275,0.18170000000000003
0.30000000000000004,0.15000000000000002
0.325,0.1227
0.35000000000000003,0.11370000000000002
0.375,0.11200000000000003
0.4,0.11070000000000005
0.42500000000000004,0.10970000000000005
0.45,0.10790000000000002
0.47500000000000003,0.10470000000000004
0.5,0.10150000000000006
0.525,0.09840000000000006
0.55,0.09700000000000006
0.5750000000000001,0.09610000000000005
0.6000000000000001,0.09550000000000006
0.625,0.09490000000000005
0.65,0.09410000000000004
0.675,0.09380000000000005
0.7000000000000001,0.09350000000000006
0.7250000000000001,0.09320000000000005
0.75,0.09290000000000005
0.775,0.09280000000000005
0.8,0.09270000000000005
