model,power,use_shift,gamma,epsilon,accuracy,suppressed_matches,harm_rate
B30-FT-E-M,1,False,9.0,0.325,0.8760000467300415,32.5,0.8
B30-FT-E-M,1,False,9.0,0.35,0.7000000476837158,28.865979381443296,1.6
B30-FT-E-M,1,False,9.0,0.375,0.4360000193119049,31.088082901554404,0.0
B30-FT-E-M,1,False,9.0,0.4,0.18800000846385956,15.517241379310345,0.0
B30-FT-E-M,1,False,9.0,0.45,0.012000000104308128,0.8,0.0
B30-FT-E-M,1,False,10.0,0.0,0.9880000352859497,0.0,0.0
B30-FT-E-M,1,False,10.0,0.1,0.984000027179718,33.33333333333333,1.2
B30-FT-E-M,1,False,10.0,0.2,0.9640000462532043,41.66666666666667,0.8
B30-FT-E-M,1,False,10.0,0.3,0.9360000491142273,47.368421052631575,1.6
B30-FT-E-M,1,False,10.0,0.325,0.8840000629425049,30.0,2.4
B30-FT-E-M,1,False,10.0,0.35,0.7120000123977661,37.254901960784316,1.6
B30-FT-E-M,1,False,10.0,0.375,0.484000027179718,31.147540983606557,0.0
B30-FT-E-M,1,False,10.0,0.4,0.19600000977516174,17.094017094017094,0.4
B30-FT-E-M,1,False,10.0,0.45,0.004000000189989805,0.4,0.0
B30-FT-E-M,1,False,11.0,0.0,0.9800000190734863,0.0,0.0
B30-FT-E-M,1,False,11.0,0.1,0.9760000705718994,0.0,1.2
B30-FT-E-M,1,False,11.0,0.2,0.9720000624656677,50.0,1.2
B30-FT-E-M,1,False,11.0,0.3,0.9520000219345093,45.0,1.2
B30-FT-E-M,1,False,11.0,0.325,0.9080000519752502,42.10526315789473,1.2
B30-FT-E-M,1,False,11.0,0.35,0.7200000286102295,30.927835051546392,1.6
B30-FT-E-M,1,False,11.0,0.375,0.47200003266334534,33.68983957219251,0.0
B30-FT-E-M,1,False,11.0,0.4,0.2200000137090683,20.0,0.0
B30-FT-E-M,1,False,11.0,0.45,0.03200000151991844,3.614457831325301,0.0
B30-FT-E-M,1,False,12.0,0.0,0.9800000190734863,0.0,0.0
B30-FT-E-M,1,False,12.0,0.1,0.9760000705718994,33.33333333333333,0.8
B30-FT-E-M,1,False,12.0,0.2,0.9640000462532043,44.44444444444444,2.0
B30-FT-E-M,1,False,12.0,0.3,0.9480000734329224,47.05882352941176,2.4
