Epsilon,B30-FT-3
0.0,0.9854
0.025,0.9554
0.05,0.9571
0.07500000000000001,0.9589
0.1,0.9574
0.125,0.9545
0.15000000000000002,0.9496
0.17500000000000002,0.9448
0.2,0.94
0.225,0.9352
0.25,0.9306
0.275,0.9232
0.30000000000000004,0.9144
0.325,0.9009
0.35000000000000003,0.8236
0.375,0.6342
0.4,0.3588
0.42500000000000004,0.1712
0.45,0.069
0.47500000000000003,0.0241
0.5,0.0057
0.525,0.0014
0.55,0.0006
0.5750000000000001,0.0
0.6000000000000001,0.0
0.625,0.0
0.65,0.0
0.675,0.0
0.7000000000000001,0.0
0.7250000000000001,0.0
0.75,0.0
0.775,0.0
0.8,0.0
