Epsilon,B30-FT-2
0.0,0.9868
0.025,0.9629
0.05,0.9604
0.07500000000000001,0.9584
0.1,0.9563
0.125,0.9539
0.15000000000000002,0.9499
0.17500000000000002,0.9456
0.2,0.9389
0.225,0.9344
0.25,0.9285
0.275,0.9213
0.30000000000000004,0.9091
0.325,0.8508
0.35000000000000003,0.6464
0.375,0.3324
0.4,0.1238
0.42500000000000004,0.043
0.45,0.0136
0.47500000000000003,0.0029
0.5,0.0025
0.525,0.0005
0.55,0.0001
0.5750000000000001,0.0
0.6000000000000001,0.0001
0.625,0.0
0.65,0.0
0.675,0.0
0.7000000000000001,0.0
0.7250000000000001,0.0
0.75,0.0
0.775,0.0
0.8,0.0
