Epsilon,B30-FT-E
0.0,0.9799
0.025,0.64
0.05,0.8051
0.07500000000000001,0.8994
0.1,0.9197
0.125,0.9311
0.15000000000000002,0.9341
0.17500000000000002,0.9292
0.2,0.9226
0.225,0.9183
0.25,0.9125
0.275,0.9057
0.30000000000000004,0.8984
0.325,0.8949
0.35000000000000003,0.8174
0.375,0.6015
0.4,0.3723
0.42500000000000004,0.1701
0.45,0.0879
0.47500000000000003,0.044
0.5,0.0089
0.525,0.0018
0.55,0.0004
0.5750000000000001,0.0001
0.6000000000000001,0.0
0.625,0.0
0.65,0.0
0.675,0.0
0.7000000000000001,0.0
0.7250000000000001,0.0
0.75,0.0
0.775,0.0
0.8,0.0
