Epsilon,ProtoVAE-FT-2
0.0,0.9877
0.025,0.9859
0.05,0.9833
0.07500000000000001,0.9801
0.1,0.9775
0.125,0.974
0.15000000000000002,0.9704
0.17500000000000002,0.9668
0.2,0.9625
0.225,0.9577
0.25,0.9535
0.275,0.9471
0.30000000000000004,0.9409
0.325,0.9018
0.35000000000000003,0.6999
0.375,0.5371
0.4,0.3474
0.42500000000000004,0.2125
0.45,0.1269
0.47500000000000003,0.073
0.5,0.047
0.525,0.0335
0.55,0.0266
0.5750000000000001,0.0177
0.6000000000000001,0.0159
0.625,0.0107
0.65,0.0063
0.675,0.0042
0.7000000000000001,0.0026
0.7250000000000001,0.0016
0.75,0.001
0.775,0.0005
0.8,0.0005
