Epsilon,ProtoVAE-FT-2
0.0,0.9889
0.025,0.9867
0.05,0.9835
0.07500000000000001,0.98
0.1,0.9764
0.125,0.9719
0.15000000000000002,0.9664
0.17500000000000002,0.9625
0.2,0.9574
0.225,0.9518
0.25,0.9464
0.275,0.9371
0.30000000000000004,0.9285
0.325,0.8575
0.35000000000000003,0.6277
0.375,0.4697
0.4,0.3289
0.42500000000000004,0.2105
0.45,0.1218
0.47500000000000003,0.0709
0.5,0.0482
0.525,0.0357
0.55,0.0255
0.5750000000000001,0.019
0.6000000000000001,0.0144
0.625,0.0105
0.65,0.0062
0.675,0.003
0.7000000000000001,0.0017
0.7250000000000001,0.0018
0.75,0.0006
0.775,0.0001
0.8,0.0001
