Variant,Frozen,Mean ratio,Std,Median,$\%_{<1}$,$E[r_{PGD}^-]$
Base,—,0.1735,0.1987,0.1293,0.9931,0.0307
FT-0,Nothing (full),0.2846,0.217,0.2292,0.9857,0.3668
FT-1,Autoencoder,0.6563,0.096,0.6373,0.9897,0.0308
FT-2,Prototypes,0.2782,0.2145,0.228,0.9848,0.3472
FT-3,Classifier,0.3125,0.1961,0.259,0.9853,0.3715
FT-E,Protos + Classifier,0.3387,0.2269,0.2753,0.9799,0.2896
FT-E-M,Protos + Classifier (Mixed),0.3345,0.2126,0.2768,0.9832,0.3476
