Epsilon,SENN-FT-1
0.0,0.9654
0.025,0.9599
0.05,0.9541
0.07500000000000001,0.9464
0.1,0.9373
0.125,0.9269
0.15000000000000002,0.9134
0.17500000000000002,0.8985
0.2,0.8807
0.225,0.8568
0.25,0.8333
0.275,0.7992
0.30000000000000004,0.748
0.325,0.6255
0.35000000000000003,0.4256
0.375,0.1976
0.4,0.064
0.42500000000000004,0.0203
0.45,0.0062
0.47500000000000003,0.0033
0.5,0.0012
0.525,0.0003
0.55,0.0
0.5750000000000001,0.0
0.6000000000000001,0.0001
0.625,0.0
0.65,0.0
0.675,0.0
0.7000000000000001,0.0
0.7250000000000001,0.0
0.75,0.0
0.775,0.0
0.8,0.0
