Epsilon,B30-FT-E
0.0,0.9799
0.025,0.6375
0.05,0.8098
0.07500000000000001,0.8964
0.1,0.9181
0.125,0.9291
0.15000000000000002,0.9332
0.17500000000000002,0.925
0.2,0.922
0.225,0.9148
0.25,0.9092
0.275,0.9016
0.30000000000000004,0.8949
0.325,0.8692
0.35000000000000003,0.767
0.375,0.5679
0.4,0.3119
0.42500000000000004,0.1641
0.45,0.065
0.47500000000000003,0.0217
0.5,0.0071
0.525,0.0017
0.55,0.0009
0.5750000000000001,0.0
0.6000000000000001,0.0
0.625,0.0
0.65,0.0
0.675,0.0
0.7000000000000001,0.0
0.7250000000000001,0.0
0.75,0.0
0.775,0.0
0.8,0.0
