epoch,train_clean_loss,train_clean_dfl_loss,train_clean_ce_loss,train_clean_mu_mae_raw,train_clean_mu_mae_clamped,train_clean_mu_rmse_clamped,train_clean_mu_corr_clamped,train_clean_target_saturation_rate,train_clean_det_acc,train_clean_risk_acc,train_adv_loss,train_adv_dfl_loss,train_adv_ce_loss,train_adv_mu_mae_raw,train_adv_mu_mae_clamped,train_adv_mu_rmse_clamped,train_adv_mu_corr_clamped,train_adv_target_saturation_rate,train_adv_det_acc,train_adv_risk_acc,val_clean_loss,val_clean_dfl_loss,val_clean_ce_loss,val_clean_mu_mae_raw,val_clean_mu_mae_clamped,val_clean_mu_rmse_clamped,val_clean_mu_corr_clamped,val_clean_target_saturation_rate,val_clean_det_acc,val_clean_risk_acc,val_adv_loss,val_adv_dfl_loss,val_adv_ce_loss,val_adv_mu_mae_raw,val_adv_mu_mae_clamped,val_adv_mu_rmse_clamped,val_adv_mu_corr_clamped,val_adv_target_saturation_rate,val_adv_det_acc,val_adv_risk_acc
1,0.6882972189535698,0.6882972189535698,0.007370169129596131,0.05670378190146552,0.056413251956303916,0.08708850661187084,0.9996251046575043,0.00047222222222222224,0.9977083333333333,0.9977291666666667,11.53093145787716,0.6858116273457805,10.845119833946228,0.06594889135360718,0.06424355119069418,0.10722933414708763,0.9993041587721091,0.002085416666666667,0.012145833333333333,0.012145833333333333,0.7165140596528848,0.7165140596528848,0.03409592870836301,0.07194338853624133,0.07159428126017253,0.10011588645602684,0.9995308050194927,0.0004638888888888889,0.9905,0.9905,11.429299255212149,0.7325122145315012,10.696787039438883,0.09128609110514323,0.08861391228569879,0.13384393904781952,0.9990423664095965,0.002913888888888889,0.014583333333333334,0.01475
2,0.7470797300338745,0.7470797300338745,0.008125034657496144,0.07877941873338487,0.07848888893127441,0.1135330528001573,0.9993254615119198,0.00047222222222222224,0.9977083333333333,0.9977083333333333,11.23586500187715,0.7670736508443952,10.468791345755259,0.09940423393249512,0.09754346699184842,0.14170345294403286,0.99884877947638,0.0022583333333333335,0.0126875,0.012875,0.7827759298185507,0.7827759298185507,0.03344112672978857,0.08627569376627604,0.0859265865749783,0.1296151396711285,0.99904534555649,0.0004638888888888889,0.9905,0.9903333333333333,11.147348483403524,0.8158283941447735,10.331520100434622,0.11222731068929036,0.10977991485595703,0.165275190758783,0.9984226950921411,0.0029861111111111113,0.014666666666666666,0.014833333333333334
3,0.8322285208851099,0.8322285208851099,0.009771034574441728,0.09615071461995443,0.0958601846906874,0.15665613284443686,0.9985309944931671,0.00047222222222222224,0.9977083333333333,0.9976875,10.867171501119932,0.8711423703158895,9.996029108762741,0.12031864624023438,0.11845026270548503,0.180981640889831,0.9979398614408663,0.0023465277777777777,0.012166666666666666,0.0124375,0.8869652238984903,0.8869652238984903,0.03411626736245429,0.10697808380126952,0.10662897474500868,0.18517253757237703,0.9979058569509637,0.0004638888888888889,0.9905,0.9903333333333333,10.720628400643667,0.9407265062133471,9.779901882012686,0.13350027381049262,0.13071696506076388,0.20704232642015613,0.9973511771426566,0.003263888888888889,0.014583333333333334,0.01475
4,0.9400948534409205,0.9400948534409205,0.012553296737072136,0.11918471755981445,0.1188941879272461,0.22428071979017516,0.9969158283718031,0.00047222222222222224,0.9977083333333333,0.997625,10.460453723867735,1.018349153921008,9.442104548215866,0.14253296258714465,0.14026615613301596,0.23203883166187325,0.9965343475479216,0.002725,0.012333333333333333,0.0125,0.990314477433761,0.990314477433761,0.03589189289292941,0.12986346808539498,0.12951435987684462,0.25527561908630625,0.9960811444811478,0.0004638888888888889,0.9905,0.9906666666666667,10.344777842362722,1.091812086602052,9.252965728441874,0.15311654493543836,0.15018016526963976,0.2551071686449287,0.9959757627752471,0.003375,0.013583333333333333,0.01375
5,1.0115907586490114,1.0115907586490114,0.014763791150471661,0.13682038964165583,0.13652986013624402,0.27665021881941193,0.9955234168801212,0.00047222222222222224,0.9977083333333333,0.9977083333333333,10.202764198184013,1.135809241483609,9.066954960425695,0.15769203219943576,0.15537876196967232,0.26835629821030305,0.9954874919659915,0.0026930555555555557,0.012270833333333333,0.012395833333333333,1.0300535658995311,1.0300535658995311,0.036965623730793595,0.14086004113091363,0.1405109356350369,0.28921323432428125,0.9951834707756716,0.0004638888888888889,0.9905,0.9904166666666666,10.188989261786142,1.172034315764904,9.016954898834229,0.16482632175021703,0.16177417975531683,0.28286050335488944,0.9952665680137265,0.0034194444444444446,0.014,0.014
6,1.0311090980346005,1.0311090980346005,0.016361169141115777,0.1439877860599094,0.14369725562201605,0.299760337184009,0.9948861714433547,0.00047222222222222224,0.9977083333333333,0.9976458333333333,10.057401145497957,1.192951126024127,8.864450017611185,0.1671454601711697,0.16468487684461805,0.29234237357950016,0.994807729742095,0.0028444444444444446,0.013291666666666667,0.013458333333333333,1.0392676964402199,1.0392676964402199,0.03842263439825425,0.145997368367513,0.14564825948079427,0.30706526656124944,0.9946430770592738,0.0004638888888888889,0.9905,0.9900833333333333,10.036336600780487,1.2133027488986652,8.82303390900294,0.172437257554796,0.16916693149142795,0.3044452231305166,0.9945667861453809,0.0035555555555555557,0.015416666666666667,0.015666666666666666
7,1.0408100464070837,1.0408100464070837,0.01890324941147507,0.14979117228190103,0.14950064247979059,0.32026775608740343,0.994167824025744,0.00047222222222222224,0.9977083333333333,0.9976458333333333,9.903372248013815,1.2418682891875505,8.661503983040651,0.17460507702297634,0.17203503180609808,0.31150701727939284,0.994131021433582,0.002923611111111111,0.013208333333333334,0.0136875,1.0537664120395978,1.0537664120395978,0.04113989579491317,0.15346706949869793,0.15311796129014757,0.33216563074154887,0.9937014544136333,0.0004638888888888889,0.9905,0.9899166666666667,9.895276804765066,1.2571448783079784,8.638131946325302,0.17880232340494792,0.17563167860243056,0.31926476228551864,0.9939880250693675,0.0034527777777777777,0.01425,0.014333333333333333
8,1.051175023118655,1.051175023118655,0.02207641191004465,0.15721889207628037,0.15692836176554362,0.34674385476925856,0.9931165944005658,0.00047222222222222224,0.9977083333333333,0.997625,9.738336180647215,1.267324127877752,8.471012045939764,0.18075932540893555,0.1782796250237359,0.32537891971680877,0.9935855762957753,0.002845138888888889,0.013625,0.014208333333333333,1.0589428171515465,1.0589428171515465,0.04386001961150517,0.16045287068684896,0.1601037645128038,0.3587386250215563,0.9925896570120256,0.0004638888888888889,0.9905,0.9901666666666666,9.732272823651632,1.263451578716437,8.468821297089258,0.18471072353786894,0.18164065958658854,0.33266825639017444,0.9934919779685318,0.003361111111111111,0.014333333333333333,0.014833333333333334
9,1.046782632668813,1.046782632668813,0.02451514801941812,0.1627232433742947,0.1624327133178711,0.3674952315109802,0.9922371919720291,0.00047222222222222224,0.9977083333333333,0.9976458333333333,9.598214492201805,1.2460765143235524,8.352138012647629,0.18535587370130752,0.18276111636691622,0.333946478227327,0.9932939036532223,0.0029395833333333335,0.013354166666666667,0.0139375,1.0457173114021618,1.0457173114021618,0.04569248696013043,0.16484918687608507,0.16450007866753472,0.37460937771550223,0.9918718814660449,0.0004638888888888889,0.9905,0.9901666666666666,9.62316526969274,1.2277083297570546,8.395456969738007,0.18903646884494357,0.18553722737630207,0.33909189410718305,0.9933067495487584,0.0036888888888888887,0.014166666666666666,0.014666666666666666
10,1.0308679450924199,1.0308679450924199,0.026129354829511914,0.16569334182739257,0.16540281168619791,0.37999259930369766,0.9916669104859236,0.00047222222222222224,0.9977083333333333,0.9976458333333333,9.479531064629555,1.1973007371028264,8.282230330010256,0.18752783728705513,0.18496636208428277,0.33738864458792983,0.9931943304031736,0.0029125,0.0138125,0.014645833333333334,1.0245200594266255,1.0245200594266255,0.046823282182837524,0.1662538584391276,0.16590475158691406,0.3835177323586598,0.9914777603613192,0.0004638888888888889,0.9905,0.9905,9.481487472852072,1.174005816380183,8.307481626669565,0.18953297390407986,0.1864765899658203,0.3413498167587888,0.9931983225286827,0.003338888888888889,0.015166666666666667,0.016
11,1.010076959617436,1.010076959617436,0.027233083218258496,0.1668462986416287,0.16655576858520507,0.38688570472370565,0.991335802054231,0.00047222222222222224,0.9977083333333333,0.9976458333333333,9.39048421382904,1.1479446223626535,8.242539589603743,0.18800404120551215,0.18556604758368597,0.3381776248440504,0.993131537939183,0.0028083333333333333,0.013875,0.014479166666666666,1.0015334238608677,1.0015334238608677,0.04760774023210009,0.16681515265570745,0.16646604614257812,0.38757155372349295,0.9912762460824077,0.0004638888888888889,0.9905,0.9905833333333334,9.421782831350962,1.1258387342095375,8.295944084723791,0.18919852125379774,0.18592681274414063,0.3386649532625204,0.9932629337155615,0.0036,0.014583333333333334,0.014833333333333334
12,0.9916272352760037,0.9916272352760037,0.028096247692398418,0.16760654237535264,0.1673160125732422,0.39213757952159817,0.9910726218637647,0.00047222222222222224,0.9977083333333333,0.9976666666666667,9.320312291383743,1.1110109575092793,8.209301307797432,0.18877619925604927,0.18594596913655598,0.3384666122732018,0.993128018392684,0.0030319444444444443,0.014,0.014625,0.9872856500248114,0.9872856500248114,0.04848747898358852,0.1683555921766493,0.16800648362901477,0.3938727340888642,0.9909178207186423,0.0004638888888888889,0.9905,0.9905833333333334,9.34306275844574,1.1009786104162533,8.242084115743637,0.1906507317437066,0.18707811652289497,0.3403536544247691,0.9931652057418733,0.003725,0.015666666666666666,0.015916666666666666
13,0.9760036965211233,0.9760036965211233,0.02875527761352714,0.16816141942342122,0.16787088970608183,0.39603395024086135,0.9908725271086184,0.00047222222222222224,0.9977083333333333,0.9976666666666667,9.26258297264576,1.0870632907996576,8.175519665082296,0.18898608991834853,0.18620998221503363,0.33927128483452645,0.993072342404865,0.0031125,0.013791666666666667,0.014416666666666666,0.9723845024903616,0.9723845024903616,0.04897774911175171,0.16841089748806423,0.1680617886013455,0.3972227934956981,0.9907863905076976,0.0004638888888888889,0.9905,0.9905,9.298630853494009,1.0838475028673809,8.214783370494843,0.19114954325358072,0.18745760125054253,0.34067320229269926,0.9931447149437204,0.0037805555555555557,0.01525,0.016166666666666666
14,0.9657103158533573,0.9657103158533573,0.029295073613563243,0.16926379572550457,0.16897326566908094,0.4005365681891391,0.9906474011173496,0.00047222222222222224,0.9977083333333333,0.9976666666666667,9.24649971226851,1.0776428567866485,8.168856854240099,0.19029689932929145,0.18758546312120225,0.341039672112463,0.9929992092568135,0.0029430555555555555,0.0138125,0.0141875,0.9608949596683184,0.9608949596683184,0.049246385344304144,0.16910233696831597,0.16875322909884982,0.4000746508980951,0.9906428441055005,0.0004638888888888889,0.9905,0.9905,9.289521872997284,1.074400005241235,8.215121845404306,0.19323560451931424,0.18948482259114582,0.3459799415492567,0.9930319128956027,0.003913888888888889,0.014416666666666666,0.015
15,0.9542780853807926,0.9542780853807926,0.029476502366984885,0.16946174706353082,0.16917121777004665,0.4025429384062552,0.9905587575731727,0.00047222222222222224,0.9977083333333333,0.9977083333333333,9.200922360022863,1.074427501608928,8.126494844754538,0.19211699778238933,0.1893152104695638,0.3430525684166577,0.9929870861534718,0.0030590277777777777,0.0148125,0.015458333333333333,0.951282974332571,0.951282974332571,0.049441069519768156,0.16917668050130208,0.16882757263183593,0.40280698959412986,0.9905098933658201,0.0004638888888888889,0.9905,0.9905,9.258883138497671,1.0749846572677295,8.183898458878199,0.19428921610514324,0.19092055155436197,0.3471055714969358,0.9930209734314933,0.003547222222222222,0.01675,0.017333333333333333
16,0.9459782823299369,0.9459782823299369,0.02961377643805463,0.16997707909478083,0.16968654963175456,0.4050125456071731,0.9904471823631069,0.00047222222222222224,0.9977083333333333,0.9977083333333333,9.171203821897507,1.0772392271707456,8.093964581688246,0.19395453584459094,0.19138825420803493,0.34672147329845476,0.9928242801634777,0.002870138888888889,0.015375,0.016020833333333335,0.9447596284250418,0.9447596284250418,0.049524252846216164,0.1699532979329427,0.16960418904622396,0.404829607834785,0.990398208214525,0.0004638888888888889,0.9905,0.9905833333333334,9.242896656195322,1.0817682246367137,8.16112839182218,0.19697361145019532,0.19329820319281685,0.35071330502260456,0.9928769072708897,0.003788888888888889,0.01625,0.01633333333333333
17,0.9399442983170351,0.9399442983170351,0.029701895681985963,0.17054474283854168,0.17025421261257595,0.4075065655949743,0.9903319821494305,0.00047222222222222224,0.9977083333333333,0.99775,9.139833544691404,1.086890837798516,8.052942708134651,0.19722623324924046,0.19449451132880316,0.35183615699549364,0.9926573133969482,0.002979166666666667,0.014833333333333334,0.015,0.9420126241942247,0.9420126241942247,0.04965485519884775,0.17173690355088975,0.1713877950032552,0.40877053367687105,0.9902660391387839,0.0004638888888888889,0.9905,0.9905833333333334,9.172910571098328,1.0962058156728745,8.076704770326614,0.2011565477159288,0.1974910407172309,0.3578487783343433,0.9925485445207232,0.0038,0.0165,0.0175
