Epsilon,B30
0.0,0.9926
0.025,0.6144
0.05,0.1225
0.07500000000000001,0.0098
0.1,0.0007
0.125,0.0001
0.15000000000000002,0.0
0.17500000000000002,0.0
0.2,0.0
0.225,0.0
0.25,0.0
0.275,0.0001
0.30000000000000004,0.0
0.325,0.0
0.35000000000000003,0.0
0.375,0.0
0.4,0.0
