epoch,train_clean_loss,train_clean_dfl_loss,train_clean_ce_loss,train_clean_mu_mae_raw,train_clean_mu_mae_clamped,train_clean_mu_rmse_clamped,train_clean_mu_corr_clamped,train_clean_target_saturation_rate,train_clean_det_acc,train_clean_risk_acc,train_adv_loss,train_adv_dfl_loss,train_adv_ce_loss,train_adv_mu_mae_raw,train_adv_mu_mae_clamped,train_adv_mu_rmse_clamped,train_adv_mu_corr_clamped,train_adv_target_saturation_rate,train_adv_det_acc,train_adv_risk_acc,val_clean_loss,val_clean_dfl_loss,val_clean_ce_loss,val_clean_mu_mae_raw,val_clean_mu_mae_clamped,val_clean_mu_rmse_clamped,val_clean_mu_corr_clamped,val_clean_target_saturation_rate,val_clean_det_acc,val_clean_risk_acc,val_adv_loss,val_adv_dfl_loss,val_adv_ce_loss,val_adv_mu_mae_raw,val_adv_mu_mae_clamped,val_adv_mu_rmse_clamped,val_adv_mu_corr_clamped,val_adv_target_saturation_rate,val_adv_det_acc,val_adv_risk_acc
1,0.5873362859711051,0.5873362859711051,0.04202331059059361,0.015437536737653945,0.01543600058025784,0.03612987428466468,0.9998145970761644,8.333333333333334e-06,0.9875416666666667,0.9875208333333333,0.7882406345258156,0.5572024046753844,0.23103822907432914,0.013972910351223417,0.013972910351223417,0.01906815012159789,0.999932387334562,0.0,0.92225,0.9223125,0.5861317068338394,0.5861317068338394,0.06673088731865089,0.015398789257473415,0.015397097778320313,0.0354401336601778,0.999821158193797,1.1111111111111112e-05,0.9801666666666666,0.9801666666666666,0.841656930744648,0.5563275888562202,0.2853293384735783,0.01394991495344374,0.01394991495344374,0.01910998383497673,0.9999318768195937,0.0,0.9123333333333333,0.9123333333333333
2,0.585566253401339,0.585566253401339,0.04201983623109603,0.015491358068254258,0.015489821921454535,0.03581265171507839,0.9998176305378121,8.333333333333334e-06,0.9875416666666667,0.9875416666666667,0.7876656539738178,0.5562721155583858,0.23139353880348304,0.014085649765862358,0.014085649765862358,0.01911456374012344,0.9999320629039764,0.0,0.9221666666666667,0.9220625,0.5844469045599302,0.5844469045599302,0.06673366518225521,0.015322460979885525,0.015320769564310709,0.03433770020075574,0.9998306120272001,1.1111111111111112e-05,0.9801666666666666,0.9801666666666666,0.8411035736401876,0.555188249796629,0.28591532446444035,0.014044551849365235,0.014044551849365235,0.01853024563168112,0.9999361032659702,0.0,0.9144166666666667,0.9138333333333334
3,0.5838825063159069,0.5838825063159069,0.04202760011442782,0.015529633707470365,0.015528097571267023,0.03555456801601893,0.9998199629209089,8.333333333333334e-06,0.9875416666666667,0.9875208333333333,0.7852928896124164,0.5548595817138752,0.23043330844181278,0.014180971309873792,0.014180971309873792,0.019167409084287934,0.999931550135645,0.0,0.922625,0.9225416666666667,0.5827471713225046,0.5827471713225046,0.06671523834423472,0.015368336529201932,0.015366645092434354,0.03396803254195798,0.9998336530443303,1.1111111111111112e-05,0.9801666666666666,0.9801666666666666,0.8431111263732115,0.5541722948352495,0.28893883029619855,0.014169530147976346,0.014169530147976346,0.018495574213429872,0.999936047467821,0.0,0.9109166666666667,0.9109166666666667
4,0.5822857053329548,0.5822857053329548,0.0420263867660348,0.015585719585418701,0.015584183449215359,0.03516806443758218,0.9998237216614112,8.333333333333334e-06,0.9875416666666667,0.9875416666666667,0.7827468644827604,0.5535866928597292,0.22916017340806624,0.01431755386988322,0.01431755386988322,0.019264645158557043,0.9999308215624145,0.0,0.9231875,0.9230625,0.5812631746133169,0.5812631746133169,0.06671078530295442,0.015527388191223145,0.01552569669087728,0.034506955660357164,0.9998292746361797,1.1111111111111112e-05,0.9801666666666666,0.9801666666666666,0.8357545907298723,0.5527623556554317,0.2829922294865052,0.01424991832309299,0.01424991832309299,0.018478637894179535,0.9999358865190004,0.0,0.9134166666666667,0.9136666666666666
5,0.5807397617027164,0.5807397617027164,0.042025136441225186,0.01565578185717265,0.015654245726267498,0.03497440796101756,0.9998254864044503,8.333333333333334e-06,0.9875416666666667,0.9875208333333333,0.7813393206646045,0.5523673935482899,0.2289719288237393,0.014450272226333619,0.014450272226333619,0.019177566846159896,0.9999313914341125,0.0,0.9235625,0.9233958333333333,0.5797267084320387,0.5797267084320387,0.06671816719851147,0.015571791161431207,0.015570099703470865,0.03426419331963817,0.9998318439075607,1.1111111111111112e-05,0.9801666666666666,0.9801666666666666,0.8415881333251795,0.5510877085228761,0.29050042169789475,0.01440063550737169,0.01440063550737169,0.018608771648816764,0.9999350099167248,0.0,0.9109166666666667,0.9108333333333334
6,0.5792593415826559,0.5792593415826559,0.04202989853123048,0.015741476011276245,0.015739939896265667,0.03477889909822239,0.9998272242806695,8.333333333333334e-06,0.9875416666666667,0.9875208333333333,0.7817245076100031,0.5512213433782259,0.23050316073931754,0.014566475057601929,0.014566475057601929,0.019338277677300415,0.9999302676149905,0.0,0.9222916666666666,0.9222916666666666,0.5782971431811651,0.5782971431811651,0.06671933187559868,0.015668716388278537,0.015667024866739907,0.034344569145849255,0.99983102629741,1.1111111111111112e-05,0.9801666666666666,0.9801666666666666,0.8393637475868067,0.5502750712136427,0.28908867792536813,0.014531270599365235,0.014531270599365235,0.01904586809915004,0.9999318063472067,0.0,0.911,0.9104166666666667
7,0.5778400857622424,0.5778400857622424,0.04203190755409499,0.015809150165981715,0.015807614035076564,0.034573067698388735,0.9998292816081988,8.333333333333334e-06,0.9875416666666667,0.9875208333333333,0.7800874188542366,0.5502436126892766,0.22984380480678132,0.014676703235838149,0.014676703235838149,0.019241221969651154,0.9999308182703623,0.0,0.9225833333333333,0.9223333333333333,0.5769459245105585,0.5769459245105585,0.06672221849051614,0.01564226262834337,0.015640571149190267,0.0328602807563137,0.9998446098079508,1.1111111111111112e-05,0.9801666666666666,0.98025,0.830956868827343,0.5493078703681628,0.28164899939050275,0.014674409442477757,0.014674409442477757,0.018689076344756604,0.9999345122760095,0.0,0.9129166666666667,0.9121666666666667
