Epsilon,B30-FT-E
0.0,0.9799
0.025,0.3846
0.05,0.3729
0.07500000000000001,0.3508
0.1,0.323
0.125,0.2971
0.15000000000000002,0.2687
0.17500000000000002,0.2409
0.2,0.2145
0.225,0.1927
0.25,0.1667
0.275,0.1454
0.30000000000000004,0.1216
0.325,0.0703
0.35000000000000003,0.0198
0.375,0.0022
0.4,0.0
