Variant,Frozen,Clean Acc,Adv Acc (0.3),$\Delta\tilde{m}_{proto}$,$\Delta R_{enc}$,ICR,$E[r_{PGD}^-]$
Base,—,0.9926,0.0,0.0,0.0,0.0222,0.0307
FT-0,Nothing (full),0.9852,0.9199,0.6239,-2.0685,0.0965,0.3668
FT-1,Autoencoder,0.8869,0.019,0.1277,-0.3621,0.2009,0.0308
FT-2,Prototypes,0.9868,0.9101,0.6091,-2.0559,0.1127,0.3472
FT-3,Classifier,0.9854,0.9144,0.5646,-2.0829,0.084,0.3715
FT-E,Protos + Classifier,0.9799,0.9006,0.4791,-2.023,0.1436,0.2896
FT-E-M,Protos + Classifier (Mixed),0.9838,0.9057,0.533,-2.1272,0.0653,0.3476
