Epsilon,B30-FT-1
0.0,0.8869
0.025,0.4671
0.05,0.1655
0.07500000000000001,0.0383
0.1,0.0146
0.125,0.0094
0.15000000000000002,0.008
0.17500000000000002,0.0098
0.2,0.012
0.225,0.0141
0.25,0.0157
0.275,0.017
0.30000000000000004,0.0197
0.325,0.0227
0.35000000000000003,0.0238
0.375,0.028
0.4,0.0279
0.42500000000000004,0.0313
0.45,0.0312
0.47500000000000003,0.0319
0.5,0.0348
0.525,0.0348
0.55,0.0372
0.5750000000000001,0.039
0.6000000000000001,0.039
0.625,0.0419
0.65,0.0448
0.675,0.0445
0.7000000000000001,0.0463
0.7250000000000001,0.0488
0.75,0.0506
0.775,0.0515
0.8,0.0518
