model,eps,pgd_iters,pgd_final_shift_mean,pgd_final_shift_std,pgd_path_length_mean,pgd_path_length_std,pgd_path_efficiency_mean,pgd_path_efficiency_std,aa_success_count,aa_success_rate
ProtoVAE,0.3,80,39.504524040222165,89.55930508676859,174.08531036376954,58.983180940006875,0.15123663209378718,0.25040748158787846,10,1.0
ProtoVAE-FT-0,0.3,80,2.8889235734939573,1.5628189848602463,4.231578826904297,2.0894892772773628,0.666265469789505,0.1330690786412031,0,0.0
