Epsilon,ProtoVAE-FT-0
0.0,0.9877
0.025,0.9847
0.05,0.9822
0.07500000000000001,0.9794
0.1,0.9758
0.125,0.973
0.15000000000000002,0.9695
0.17500000000000002,0.9655
0.2,0.9611
0.225,0.9563
0.25,0.9509
0.275,0.9439
0.30000000000000004,0.9386
0.325,0.7161
0.35000000000000003,0.3805
0.375,0.2144
0.4,0.1094
0.42500000000000004,0.0559
0.45,0.0326
0.47500000000000003,0.0185
0.5,0.0109
0.525,0.0094
0.55,0.0055
0.5750000000000001,0.0038
0.6000000000000001,0.0018
0.625,0.0012
0.65,0.0006
0.675,0.0003
0.7000000000000001,0.0
0.7250000000000001,0.0003
0.75,0.0001
0.775,0.0
0.8,0.0
